facility_id,facility_name,county,hospital_type,emergency_services,hospital_ownership,address,city,zip,lat,lon,source_cms,source_cms_url,source_geocoder,source_geocoder_url,retrieved_at
390065,GETTYSBURG HOSPITAL,Adams,Acute Care Hospitals,Yes,Voluntary non-profit - Private,147 GETTYS STREET,GETTYSBURG,17325,39.823337,-77.233777,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390066,WELLSPAN GOOD SAMARITAN HOSPITAL,Lebanon,Acute Care Hospitals,Yes,Voluntary non-profit - Private,252 SOUTH 4TH STREET,LEBANON,17042,40.335906,-76.417265,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390067,UPMC PINNACLE HOSPITALS,Dauphin,Acute Care Hospitals,Yes,Voluntary non-profit - Private,409 SOUTH SECOND STREET,HARRISBURG,17104,40.256594,-76.875845,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390068,UPMC LITITZ,Lancaster,Acute Care Hospitals,Yes,Voluntary non-profit - Other,1500 HIGHLANDS DRIVE,LITITZ,17543,40.13285,-76.309646,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390070,LOWER BUCKS HOSPITAL,Bucks,Acute Care Hospitals,Yes,Voluntary non-profit - Private,501 BATH ROAD,BRISTOL,19007,40.104491,-74.864828,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390073,UPMC ALTOONA,Blair,Acute Care Hospitals,Yes,Voluntary non-profit - Private,620 HOWARD AVENUE,ALTOONA,16601,40.521437,-78.397988,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390086,PENN HIGHLANDS DUBOIS,Clearfield,Acute Care Hospitals,Yes,Voluntary non-profit - Private,100 HOSPITAL AVENUE,DUBOIS,15801,41.113909,-78.774887,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390090,WEST PENN HOSPITAL,Allegheny,Acute Care Hospitals,Yes,Voluntary non-profit - Private,4800 FRIENDSHIP AVENUE,PITTSBURGH,15224,40.46239,-79.946781,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390091,UPMC NORTHWEST,Venango,Acute Care Hospitals,Yes,Voluntary non-profit - Other,100 FAIRFIELD DRIVE,SENECA,16346,41.359822,-79.702449,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390096,PENN STATE HEALTH ST. JOSEPH,Berks,Acute Care Hospitals,Yes,Voluntary non-profit - Private,2500 BERNVILLE ROAD,READING,19605,40.377628,-75.980223,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390097,HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,Montgomery,Acute Care Hospitals,Yes,Voluntary non-profit - Church,1648 HUNTINGDON PIKE,MEADOWBROOK,19046,40.108934,-75.081204,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390100,LANCASTER GENERAL HOSPITAL,Lancaster,Acute Care Hospitals,Yes,Voluntary non-profit - Private,555 NORTH DUKE STREET,LANCASTER,17602,40.047122,-76.305298,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390102,UPMC ST MARGARET,Allegheny,Acute Care Hospitals,Yes,Voluntary non-profit - Private,815 FREEPORT ROAD,PITTSBURGH,15215,40.487544,-79.89626,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390107,UPMC PASSAVANT,Allegheny,Acute Care Hospitals,Yes,Voluntary non-profit - Private,9100 BABCOCK BOULEVARD,PITTSBURGH,15237,40.57448,-80.016357,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390110,CONEMAUGH MEMORIAL MEDICAL CENTER,Cambria,Acute Care Hospitals,Yes,Proprietary,1086 FRANKLIN STREET,JOHNSTOWN,15905,40.305887,-78.917391,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390111,HOSPITAL OF UNIV OF PENNSYLVANIA,Philadelphia,Acute Care Hospitals,Yes,Voluntary non-profit - Private,3400 SPRUCE ST,PHILADELPHIA,19104,39.950396,-75.192672,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390113,MEADVILLE MEDICAL CENTER,Crawford,Acute Care Hospitals,Yes,Voluntary non-profit - Private,751 LIBERTY STREET,MEADVILLE,16335,41.641691,-80.146293,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390114,MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM,Allegheny,Acute Care Hospitals,Yes,Voluntary non-profit - Other,300 HALKET STREET,PITTSBURGH,15213,40.437641,-79.960326,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390116,SUBURBAN COMMUNITY HOSPITAL,Montgomery,Acute Care Hospitals,Yes,Voluntary non-profit - Private,2701 DEKALB PIKE,NORRISTOWN,19401,40.139519,-75.314846,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390123,POTTSTOWN HOSPITAL,Montgomery,Acute Care Hospitals,Yes,Voluntary non-profit - Private,1600 EAST HIGH STREET,POTTSTOWN,19464,40.243957,-75.613518,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390125,WAYNE MEMORIAL HOSPITAL,Wayne,Acute Care Hospitals,Yes,Voluntary non-profit - Private,601 PARK STREET,HONESDALE,18431,41.576595,-75.259434,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390127,PHOENIXVILLE HOSPITAL,Chester,Acute Care Hospitals,Yes,Voluntary non-profit - Private,140 NUTT ROAD,PHOENIXVILLE,19460,40.123965,-75.513937,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390133,LEHIGH VALLEY HOSPITAL,Lehigh,Acute Care Hospitals,Yes,Voluntary non-profit - Private,1200 SOUTH CEDAR CREST BOULEVARD,ALLENTOWN,18103,40.567148,-75.518737,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390137,WILKES-BARRE GENERAL HOSPITAL,Luzerne,Acute Care Hospitals,Yes,Proprietary,575 NORTH RIVER STREET,WILKES-BARRE,18764,41.257847,-75.868269,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390138,WELLSPAN WAYNESBORO HOSPITAL,Franklin,Acute Care Hospitals,Yes,Voluntary non-profit - Private,501 EAST MAIN ST,WAYNESBORO,17268,39.751606,-77.569764,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390139,BRYN MAWR HOSPITAL,Montgomery,Acute Care Hospitals,Yes,Voluntary non-profit - Private,130 SOUTH BRYN MAWR AVE,BRYN MAWR,19010,40.019065,-75.319957,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390145,EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,Westmoreland,Acute Care Hospitals,Yes,Voluntary non-profit - Other,532 WEST PITTSBURGH STREET,GREENSBURG,15601,40.301121,-79.555109,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390146,WARREN GENERAL HOSPITAL,Warren,Acute Care Hospitals,Yes,Voluntary non-profit - Private,2 CRESCENT PARK WEST,WARREN,16365,41.842846,-79.156708,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390147,PENN HIGHLANDS MON VALLEY,Washington,Acute Care Hospitals,Yes,Voluntary non-profit - Private,1163 COUNTRY CLUB ROAD,MONONGAHELA,15063,40.18147,-79.916178,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390150,UPMC GREENE,Greene,Acute Care Hospitals,Yes,Voluntary non-profit - Private,350 BONAR AVENUE,WAYNESBURG,15370,39.900628,-80.173862,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390151,WELLSPAN CHAMBERSBURG HOSPITAL,Franklin,Acute Care Hospitals,Yes,Voluntary non-profit - Private,112 NORTH SEVENTH STREET,CHAMBERSBURG,17201,39.934695,-77.647472,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390153,PAOLI HOSPITAL,Chester,Acute Care Hospitals,Yes,Voluntary non-profit - Private,255 WEST LANCASTER AVENUE,PAOLI,19301,40.042109,-75.499784,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390156,MERCY CATHOLIC MEDICAL CENTER- MERCY FITZGERALD,Delaware,Acute Care Hospitals,Yes,Voluntary non-profit - Private,1500 LANSDOWNE  AVE,DARBY,19023,39.926535,-75.26807,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390160,CANONSBURG GENERAL HOSPITAL,Washington,Acute Care Hospitals,Yes,Voluntary non-profit - Private,100 MEDICAL BOULEVARD,CANONSBURG,15317,40.248793,-80.190046,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390162,ST LUKE'S HOSPITAL - EASTON CAMPUS,Northampton,Acute Care Hospitals,Yes,Voluntary non-profit - Private,250 SOUTH 21ST STREET,EASTON,18042,40.685931,-75.242737,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390163,ACMH HOSPITAL,Armstrong,Acute Care Hospitals,Yes,Voluntary non-profit - Private,ONE NOLTE DRIVE,KITTANNING,16201,40.811032,-79.562521,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390164,UPMC PRESBYTERIAN SHADYSIDE,Allegheny,Acute Care Hospitals,Yes,Voluntary non-profit - Private,200 LOTHROP STREET,PITTSBURGH,15213,40.441896,-79.96075,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390173,INDIANA REGIONAL MEDICAL CENTER,Indiana,Acute Care Hospitals,Yes,Voluntary non-profit - Private,835 HOSPITAL ROAD,INDIANA,15701,40.608085,-79.158899,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390174,THOMAS JEFFERSON UNIVERSITY HOSPITAL,Philadelphia,Acute Care Hospitals,Yes,Voluntary non-profit - Private,111 SOUTH 11TH STREET,PHILADELPHIA,19107,39.949675,-75.158674,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390178,UPMC HORIZON,Mercer,Acute Care Hospitals,Yes,Voluntary non-profit - Private,110 NORTH MAIN STREET,GREENVILLE,16125,41.411157,-80.372424,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
